date,trade_volume,trade_value,opening_price,highest_price,lowest_price,closing_price,change,transaction
2011/1/3,4763737,1986414266,421.5,422.5,414,415,-2.5,3724
2011/1/4,6886501,2897279920,421,423.5,418,418,3,5211
2011/1/5,9170212,3864159220,421.5,424,418,420,2,6000
2011/1/6,7965075,3279385050,421,421.5,407.5,411,-9,6368
2011/1/7,21251588,8397624404,409,409,385,390,-21,16348
2011/1/10,6862508,2628486104,385,385.5,378,385,-5,5420
2011/1/11,8616229,3415311329,390,401,389,398,13,6619
2011/1/12,12242917,5051021555,408,416,406,415,17,9528
2011/1/13,8590357,3502446804,415,417.5,410.5,411,-4,4537
2011/1/14,5575463,2266820608,411,411.5,403.5,405.5,-5.5,4250
2011/1/17,6784328,2714280372,405,405,397.5,397.5,-8,4811
2011/1/18,4193530,1682541248,395.5,405,395,400,2.5,3210
2011/1/19,4738420,1902990840,404.5,406,398.5,401.5,1.5,3583
2011/1/20,4241894,1663885507,398,403.5,397.5,398,-3.5,2349
2011/1/21,3646636,1437184628,391,397,390,395.5,-2.5,2848
2011/1/24,3269444,1298368880,396,402.5,394,394,-1.5,2882
2011/1/25,3533332,1409583116,400,402,396,396,2,2947
2011/1/26,2967705,1188127910,400,402.5,398,401,5,2467
2011/1/27,7579845,3092550070,403,411.5,402,406,5,6132
2011/1/28,9906495,3943187510,404,404,396,396,-10,7296
2011/2/8,20472008,7574309300,380,380,368.5,368.5,-27.5,12948
2011/2/9,23429029,8275571150,361,361.5,345,345.5,-23,17795
2011/2/10,11970572,4225276060,346,357,346,353.5,8,8744
2011/2/11,10996241,3813695368,354,354,340,345,-8.5,7830
2011/2/14,6009818,2101482300,350,352.5,348,348,3,4446
2011/2/15,6713183,2366519282,350,356.5,346.5,351.5,3.5,5153
2011/2/16,5014075,1750055250,351.5,353.5,347.5,348,-3.5,3896
2011/2/17,7585090,2598267087,350,351,339,339,-9,5961
2011/2/18,4558826,1563151023,342,345,341,343,4,3504
2011/2/21,4951241,1685950201,344,345,339,339,-4,3687
2011/2/22,8587677,2835034591,333,334.5,325.5,331.5,-7.5,6356
2011/2/23,8757988,2950365941,331.5,342,331.5,334,2.5,6249
2011/2/24,4863722,1639614092,336,341.5,334,334,0,4077
2011/2/25,9076219,3030640161,337,339.5,328,334,0,6693
2011/3/1,8182526,2729019080,334,339,328,328,-6,6382
2011/3/2,14089934,4843385598,332,350,332,345.5,17.5,10757
2011/3/3,8847282,3012400226,344,344,337,340.5,-5,6705
2011/3/4,5695007,1929653175,344,344,335,335.5,-5,4398
2011/3/7,5204845,1723916764,331,334,328.5,332,-3.5,4417
2011/3/8,6350269,2160499767,332,344,332,341,9,4916
2011/3/9,6965150,2410872250,348,349.5,343,343,2,5171
2011/3/10,6240163,2150924050,344.5,348,341,348,5,4469
2011/3/11,4798519,1654524574,346,347,342,345,-3,3874
2011/3/14,5221883,1758879454,341,341,332,336,-9,4231
2011/3/15,11608725,3753119450,336,341,312.5,318.5,-17.5,9049
2011/3/16,6133762,1996623960,326,328.5,321,328.5,10,4715
2011/3/17,14071544,4810310180,329,350,325,344,15.5,10208
2011/3/18,8367601,2892297047,350,350,341,346.5,2.5,5872
2011/3/21,3705800,1272723400,346.5,346.5,341,341,-5.5,2927
2011/3/22,7561978,2649393310,344,355,344,348,7,5747
2011/3/23,5241906,1831354600,350,352,347,348,0,3900
2011/3/24,5420201,1871158718,350,351.5,342.5,342.5,-5.5,4119
2011/3/25,4089091,1410779395,346,348,343,343,0.5,2967
2011/3/28,2500385,855167956,341,345,340.5,340.5,-2.5,1902
2011/3/29,4677803,1606335009,340.5,347,340.5,341,0.5,3454
2011/3/30,5381913,1815221681,341,342.5,335.5,335.5,-5.5,4372
2011/3/31,5210916,1748669024,335.5,338,332,338,2.5,3408
2011/4/1,3894112,1324267183,339.5,343,337,343,5,2879
2011/4/6,14311254,5007181986,347,353,345,349.5,6.5,8685
2011/4/7,5767489,2015901639,352,352,346.5,351,1.5,3810
2011/4/8,4441683,1555026550,351,352,347.5,350,-1,3427
2011/4/11,4397143,1542024570,350,354,346,354,4,2833
2011/4/12,3197292,1113285908,351,352,346,346,-8,2422
2011/4/13,2930890,1011552110,345,348,341.5,347.5,1.5,2109
2011/4/14,6988106,2377995540,346,346,337,339,-8.5,5124
2011/4/15,4237630,1434655940,337,342.5,336,336,-3,3516
2011/4/18,9230467,3018668057,336,337.5,319.5,320,-16,7398
2011/4/19,10936966,3393539392,315,316,308,309,-11,8338
2011/4/20,9090639,2799668090,310,312,303.5,308,-1,6333
2011/4/21,5403298,1697617370,314,316.5,311,314.5,6.5,4216
2011/4/22,3519862,1101128838,313,316,311,311,-3.5,2899
2011/4/25,3051037,944603859,312,314,305.5,305.5,-5.5,2698
2011/4/26,5487891,1697301165,303.5,313.5,301,313,7.5,4160
2011/4/27,11086842,3592165124,318,329,318,320.5,7.5,7990
2011/4/28,6096541,1936412915,321,323.5,314,314.5,-6,4508
2011/4/29,5942030,1879101110,314,321,311,316.5,2,4293
2011/5/3,16696637,5524776438,322.5,338.5,321,337.5,21,11731
2011/5/4,11975204,4123452676,343,347,340,344,6.5,8189
2011/5/5,12781382,4425207700,347,348.5,340.5,347.5,3.5,6462
2011/5/6,7285408,2511360484,347.5,347.5,341.5,347.5,0,5259
2011/5/9,16802416,6009593760,348.5,362.5,348,360,12.5,12050
2011/5/10,6611992,2344085626,358,358,352.5,352.5,-7.5,5325
2011/5/11,6421282,2269886200,354,358.5,350,350,-2.5,4655
2011/5/12,5291815,1858372127,348,354,347.5,352.5,2.5,3492
2011/5/13,8615163,3060491039,352,362,349,352.5,0,6516
2011/5/16,5443483,1907544823,355,357,345.5,345.5,-7,4203
2011/5/17,11973668,4047471688,342,344.5,334.5,334.5,-11,8620
2011/5/18,4107464,1389159152,336,340,336,340,5.5,3197
2011/5/19,6643530,2226215930,340,342,328.5,330,-10,5273
2011/5/20,8679388,2804656160,329,330,318,318,-12,6484
2011/5/23,9455408,2944280796,312.5,314.5,310,310,-8,6964
2011/5/24,7611896,2414032136,314,323,314,314,4,5730
2011/5/25,5023833,1571616896,313,317.5,310,310,-4,3930
2011/5/26,7357242,2275979020,314,314.5,305.5,307.5,-2.5,5556
2011/5/27,8553020,2651744720,307.5,313.5,307.5,309.5,2,5752
2011/5/30,6179084,1950694796,314.5,319,312,317,7.5,4654
2011/5/31,7353069,2355225149,320,322,318,320,3,4675
2011/6/1,8691440,2845738200,322,331,322,330,10,6464
2011/6/2,7109054,2304822339,327,329,320,320.5,-9.5,5100
2011/6/3,3499873,1125882156,322.5,324,319,319.5,-1,2842
2011/6/7,7198082,2249720343,315.5,319,310,313.5,-6,5638
2011/6/8,6745432,2128846944,314.5,318,312,316,2.5,4424
2011/6/9,4886318,1529974352,314,316.5,310,312.5,-3.5,3578
2011/6/10,10260830,3157927470,313,313,306,306,-6.5,7369
2011/6/13,7657540,2317118392,304,305.5,301.5,302,-4,5330
2011/6/14,5352416,1625285562,303,305,302.5,304,2,3564
2011/6/15,9006792,2764185352,306,311,303.5,304,0,5985
2011/6/16,8913376,2664185924,301,301,297.5,297.5,-6.5,6572
2011/6/17,6790866,2038421032,300,302,298,301.5,4,3923
2011/6/20,5286759,1580496164,305,305,295,295,-6.5,4034
2011/6/21,13515384,4160597308,301.5,312,300,312,17,9033
2011/6/22,12901511,4112656031,319,322,315,321,9,9217
2011/6/23,8125340,2585123120,320,320.5,315.5,318,-3,4720
2011/6/24,9257363,2900304552,319,319,311,311,-7,6175
2011/6/27,6469115,1992135921,305,311.5,304,311,0,4257
2011/6/28,4341927,1350243322,312,314,309,309,-2,3022
2011/6/29,8472650,2676924454,312,318,311.5,317,8,4902
2011/6/30,6602479,2080084727,317.5,319,311,312,-5,4372
2011/7/1,5091998,1601888370,315,316.5,313,313.5,1.5,3738
2011/7/4,6839407,2129697705,315,316,307,314,0.5,4559
2011/7/5,4457260,1384584905,311,313.5,309,309,-5,2926
2011/7/6,6476011,2002974881,309,311.5,308.5,309,0,3723
2011/7/7,13462506,4119568836,310,310.5,304.5,304.5,-4.5,7650
2011/7/8,15336311,4460531303,291,294.5,287.5,288.5,X0.00,9627
2011/7/11,10117773,2816471461,288.5,288.5,275,275,-13.5,7668
2011/7/12,17073447,4559155432,267,268.5,261,262,-13,9650
2011/7/13,24438544,6187027000,263,266,244,247,-15,16058
2011/7/14,16599792,4262010296,258,259,253.5,258,11,10126
2011/7/15,12022592,3168820472,261.5,268.5,256,263,5,8126
2011/7/18,9378718,2398929036,261,261,251,251,-12,7182
2011/7/19,8439444,2174049940,253,260.5,253,259.5,8.5,6002
2011/7/20,16497920,4457755580,265.5,274.5,263.5,272,12.5,10407
2011/7/21,6363278,1722039616,272,273,268.5,271,-1,4560
2011/7/22,16361957,4584155046,281,285,275,277,6,9531
2011/7/25,8167174,2228736390,277,277.5,270,270.5,-6.5,5267
2011/7/26,11258813,3135545453,275,281,273.5,281,10.5,7322
2011/7/27,10529245,2938310951,281.5,284,276,277,-4,7309
2011/7/28,15858393,4260362080,268,272.5,266,266,-11,11087
2011/7/29,12349116,3214614176,263,266.5,255,258.5,-7.5,8953
2011/8/1,11378821,2928978497,261,263,254.5,255,-3.5,7645
2011/8/2,14438602,3689839020,251,261,249,258.5,3.5,8688
2011/8/3,13579041,3436298363,252.5,255.5,250,251.5,-7,7587
2011/8/4,15798295,3888873583,252,254.5,237.5,237.5,-14,10815
2011/8/5,25367986,5715994822,221,232,221,224,-13.5,15689
2011/8/8,17489822,4029431026,233,235,225,231,7,11651
2011/8/9,23448480,5539620060,221,247,221,247,16,14578
2011/8/10,21952670,5629274860,255,261,253,256,9,13534
2011/8/11,20311954,5274091864,252.5,264.5,252.5,264,8,13446
2011/8/12,16479544,4358858896,269,271.5,256.5,257,-7,11899
2011/8/15,8912734,2360035212,265,267.5,261,266.5,9.5,6434
2011/8/16,8499729,2255494569,269,270,262.5,262.5,-4,6201
2011/8/17,10564988,2731721890,262.5,265,255.5,256,-6.5,7517
2011/8/18,10803093,2777574715,253,261,253,254,-2,7434
2011/8/19,13045549,3283673397,250,257,246,252,-2,9250
2011/8/22,18843326,4988789194,260,269.5,255,269,17,13109
2011/8/23,17295524,4654749552,270,273,264,272,3,11283
2011/8/24,27476645,7685435600,274.5,283,274.5,280,8,17302
2011/8/25,23231442,6659624702,285,291.5,281,281,1,15658
2011/8/26,18758033,5394532592,285,292.5,282,292.5,11.5,12986
2011/8/29,11909440,3452343100,292.5,292.5,287.5,289,-3.5,7447
2011/8/30,17084126,5018654201,291,298,288.5,290,1,10511
2011/8/31,12124304,3525118082,293,294,286.5,291.5,1.5,8402
2011/9/1,14739286,4354759440,294.5,300.5,290,290,-1.5,9969
2011/9/2,12992455,3799477011,290,296,288,293.5,3.5,8259
2011/9/5,13147787,3786063130,287.5,291,285,285,-8.5,8478
2011/9/6,19262495,5338145620,280,281,273.5,274,-11,13932
2011/9/7,15515672,4369173520,280,284,278.5,282.5,8.5,9656
2011/9/8,11105623,3148523721,285,285.5,281,283.5,1,7009
2011/9/9,11883666,3396612144,283,289,281.5,282.5,-1,8431
2011/9/13,8347711,2368975924,282,286.5,281,283.5,1,6080
2011/9/14,17997765,5061173052,287.5,291,268,279.5,-4,12996
2011/9/15,20034031,5877567653,290,297.5,287,296.5,17,13861
2011/9/16,25295936,7754094096,305,312,302,311,14.5,16699
2011/9/19,10734905,3336260564,309,314.5,307,309.5,-1.5,7920
2011/9/20,23887095,7652325939,313,328.5,313,326.5,17,15856
2011/9/21,32914993,11088353077,336,341,331,339,12.5,20132
2011/9/22,22725317,7705621682,337,348,331,348,9,14453
2011/9/23,26734117,8837356408,338.5,339,324,324,-24,17873
2011/9/26,18795619,5874445414,316,320,306,306,-18,13750
2011/9/27,16125690,5252785130,326,327,320,327,21,9530
2011/9/28,15447725,5097254925,336,336,322.5,333,6,10905
2011/9/29,10084832,3340943560,329,335.5,326.5,328.5,-4.5,7313
2011/9/30,10198328,3410703656,331,337.5,330.5,337.5,9,7690
2011/10/3,11894030,3885082750,332,333.5,320,325,-12.5,8779
2011/10/4,12528956,4004108612,313,327,311.5,327,2,9373
2011/10/5,8987726,2942493939,329,333,322.5,328.5,1.5,6616
2011/10/6,9165648,3053925192,337,337,330,330,1.5,6833
2011/10/7,22552877,7159819124,330,330,310.5,310.5,-19.5,16457
2011/10/11,13047024,4134098180,315,320,313.5,320,9.5,9121
2011/10/12,13200393,4303357797,320,332,317.5,329,9,9292
2011/10/13,16964050,5662225800,332,337.5,328,336,7,11114
2011/10/14,14473060,4936078660,339.5,344,336,336.5,0.5,10744
2011/10/17,8620871,2908235156,342,342.5,333,336,-0.5,6632
2011/10/18,12600530,4259262170,330,342.5,330,339,3,8661
2011/10/19,12368809,4115186470,342,342,326,328,-11,9205
2011/10/20,9748171,3197523478,328,333,324,326.5,-1.5,6486
2011/10/21,9019461,2942040083,328,332,320,332,5.5,6572
2011/10/24,16685301,5717287544,340,345,337,344,12,11540
2011/10/25,13292494,4538295966,343,345,339,339,-5,8477
2011/10/26,8625772,2902967116,334,339.5,333.5,338,-1,6324
2011/10/27,15480496,5135246180,335,337,326,327,-11,10825
2011/10/28,15457614,5056026664,332,333.5,322,324,-3,11458
2011/10/31,16903370,5392638450,320,322,315,318,-6,10898
2011/11/1,12070902,3880734563,318,326,318,319.5,1.5,8914
2011/11/2,10046090,3228374620,315,326,314,326,6.5,7352
2011/11/3,13669780,4336710640,324.5,325.5,311,311,-15,10428
2011/11/4,9965812,3187546152,320,322,316.5,321,10,6915
2011/11/7,4674874,1493175847,321,323,317.5,317.5,-3.5,3574
2011/11/8,5140198,1636491464,321,322,316,317,-0.5,3935
2011/11/9,6700327,2152106120,321,325,318,318,1,5083
2011/11/10,10006727,3108275824,311,315,307,309.5,-8.5,7657
2011/11/11,10153193,3165278682,312,317,307,312.5,3,7039
2011/11/14,7356462,2358252802,317,323,316.5,321,8.5,5533
2011/11/15,6232665,1978838782,320,323,314.5,315,-6,4810
2011/11/16,11649454,3604125832,315.5,317.5,306,306,-9,9170
2011/11/17,11419149,3466923690,301,308.5,298,308.5,2.5,8449
2011/11/18,7482780,2305842300,306.5,312,303.5,308,-0.5,5258
2011/11/21,9426391,2881515350,308,312,301,301,-7,7283
2011/11/22,15578370,4600244170,303,305,289,289,-12,11403
2011/11/23,10518074,3029936164,285.5,292,284,284,-5,7890
2011/11/24,17311686,4785747949,284,284,268,273.5,-10.5,11730
2011/11/25,12853349,3580940975,282,288,271.5,273.5,0,9396
2011/11/28,8669732,2417660424,275.5,284,274,281,7.5,6476
