代號,產業別,名稱,發行張數
8454,貿易百貨業,富邦媒,140058
8462,觀光事業,柏文,73734
8463,其他業,潤泰材,150000
8464,其他業,億豐,293020
8466,其他業,美吉吉-KY,66059
8467,其他業,波力-KY,49534
8473,其他業,山林水,134812
8478,其他業,東哥遊艇,90886
8480,其他業,泰昇-KY,39270
8481,其他業,政伸,66601
8482,其他業,商億-KY,110444
8488,其他業,吉源-KY,67500
8497,其他業,聯廣,36542
8499,其他業,鼎炫-KY,51286
8926,油電燃氣業,台汽電,589048
8940,觀光事業,新天地,67491
8996,電機機械,高力,89384
9802,其他業,鈺齊-KY,185470
9902,其他業,台火,98049
9904,其他業,寶成,2946787
9905,其他業,大華金,305000
9906,建材營造業,欣巴巴,83343
9907,其他業,統一實,1579145
9908,油電燃氣業,大台北,516358
9910,其他業,豐泰,881681
9911,其他業,櫻花,221121
9912,電腦及週邊設備業,偉聯,53806
9914,其他業,美利達,298983
9917,其他業,中興保,451197
9918,油電燃氣業,欣天然,180537
9919,其他業,康那香,195362
9921,其他業,巨大,375064
9924,其他業,福興,188452
9925,其他業,新保,387489
9926,油電燃氣業,新海瓦,179504
9927,其他業,泰銘,209148
9928,其他業,中視,150724
9929,其他業,秋雨,95800
9930,其他業,中聯資,248540
9931,油電燃氣業,欣高,110430
9933,其他業,中鼎,763332
9934,其他業,成霖,356848
9935,其他業,慶豐富,169623
9937,油電燃氣業,全國油,309043
9938,其他業,百和,297963
9939,其他業,宏全,287785
9940,其他業,信義,736846
9941,其他業,裕融,332301
9942,其他業,茂順,83161
9943,觀光事業,好樂迪,147317
9944,其他業,新麗,109107
9945,其他業,潤泰新,1504880
9946,建材營造業,三發,300820
9955,其他業,佳龍,103208
9958,鋼鐵工業,世紀鋼,210829
