代號,產業別,名稱,發行張數
3034,半導體業,聯詠,608511
3035,半導體業,智原,248550
3036,電子通路業,文曄,784190
3037,電子零組件業,欣興,1504732
3038,光電業,全台,162407
3040,其他業,遠見,63000
3041,半導體業,揚智,192539
3042,電子零組件業,晶技,309757
3043,其他電子業,科風,194878
3044,電子零組件業,健鼎,525605
3045,通信網路業,台灣大,3509376
3046,電腦及週邊設備業,建碁,34948
3047,通信網路業,訊舟,186491
3048,電子通路業,益登,222572
3049,光電業,和鑫,806948
3050,光電業,鈺德,145984
3051,光電業,力特,267224
3052,建材營造業,夆典,228713
3054,半導體業,立萬利,87848
3055,電子通路業,蔚華科,102441
3056,建材營造業,總太,209287
3057,電腦及週邊設備業,喬鼎,84238
3058,電子零組件業,立德,161937
3059,光電業,華晶,279543
3060,電腦及週邊設備業,銘異,137563
3062,通信網路業,建漢,328605
3090,電子零組件業,日電貿,178657
3094,半導體業,聯傑,84632
3130,資訊服務業,一零四,33190
3149,光電業,正達,187584
3164,生技醫療業,景岳,87848
3167,電機機械,大量,80134
3189,半導體業,景碩,450875
3209,電子通路業,全科,181429
3229,電子零組件業,晟鈦,60615
3231,電腦及週邊設備業,緯創,2840612
3257,半導體業,虹冠電,72738
3266,建材營造業,昇陽,352314
3296,電子零組件業,勝德,96724
3305,其他電子業,昇貿,118265
3308,電子零組件業,聯德,98569
3311,通信網路業,閎暉,60000
3312,電子通路業,弘憶股,125114
3321,電子零組件業,同泰,126144
3338,電子零組件業,泰碩,87765
3346,汽車工業,麗清,75784
3356,光電業,奇偶,89847
3376,電子零組件業,新日興,191779
3380,通信網路業,明泰,441817
3383,光電業,新世紀,70000
3406,光電業,玉晶光,111459
3413,半導體業,京鼎,82711
3416,電腦及週邊設備業,融程電,60187
3419,通信網路業,譁裕,120480
3432,電子零組件業,台端,66586
3437,光電業,榮創,144548
3443,半導體業,創意,134011
3450,其他電子業,聯鈞,145681
3454,光電業,晶睿,86957
3481,光電業,群創,9711071
3494,電腦及週邊設備業,誠研,179450
3501,電子零組件業,維熹,118257
3504,光電業,揚明光,114059
3515,電腦及週邊設備業,華擎,120642
3518,其他電子業,柏騰,80752
3528,電子通路業,安馳,65615
3530,半導體業,晶相光,78105
3532,半導體業,台勝科,387848
3533,電子零組件業,嘉澤,103477
3535,光電業,晶彩,79052
3536,半導體業,誠創,106800
3543,光電業,州巧,90028
3545,半導體業,敦泰,210045
3550,電子零組件業,聯穎,85000
3557,其他業,嘉威,72300
3563,光電業,牧德,44728
3576,光電業,新日光,2665572
3583,半導體業,辛耘,81139
3588,半導體業,通嘉,46882
3591,光電業,艾笛森,122556
3593,電子零組件業,力銘,63042
3596,通信網路業,智易,208440
3605,電子零組件業,宏致,122395
3607,電子零組件業,谷崧,121662
3617,其他電子業,碩天,80951
3622,光電業,洋華,151327
3645,電子零組件業,達邁,129784
3653,電子零組件業,健策,121025
3661,半導體業,世芯-KY,61326
3665,其他電子業,貿聯-KY,130517
3669,光電業,圓展,92919
3673,光電業,TPK-KY,406663
3679,電子零組件業,新至陞,62296
3682,通信網路業,亞太電,2817196
3686,半導體業,達能,113513
3694,通信網路業,海華,132941
3698,光電業,隆達,431916
3701,電腦及週邊設備業,大眾控,190344
3702,電子通路業,大聯大,1679056
3703,建材營造業,欣陸,823215
3704,通信網路業,合勤控,441177
3705,生技醫療業,永信,266422
3706,電腦及週邊設備業,神達,1206556
3708,化學工業,上緯投控,93504
3710,電子通路業,連展投控,207291
3711,半導體業,日月光投控,4338345
3712,電腦及週邊設備業,永崴投控,246242
4104,生技醫療業,佳醫,141148
4106,生技醫療業,雃博,83385
4108,生技醫療業,懷特,163616
4119,生技醫療業,旭富,79485
4133,生技醫療業,亞諾法,60553
4137,生技醫療業,麗豐-KY,79492
4141,生技醫療業,龍燈-KY,155785
4142,生技醫療業,國光生,429507
4144,生技醫療業,康聯-KY,77139
4148,生技醫療業,全宇生技-KY,64034
4155,生技醫療業,訊映,94933
4164,生技醫療業,承業生,141865
4190,生技醫療業,佐登-KY,60914
4306,塑膠工業,炎洲,570040
4414,紡織纖維,如興,820046
4426,紡織纖維,利勤,172677
4438,紡織纖維,廣越,103375
4439,紡織纖維,冠星-KY,31500
4526,電機機械,東台,254826
4532,電機機械,瑞智,504915
4536,其他業,拓凱,90820
4540,電機機械,全球傳動,96678
4545,電子零組件業,銘鈺,77000
4551,汽車工業,智伸科,105934
4552,電機機械,力達-KY,116000
4555,電機機械,氣立,66880
4557,汽車工業,永新-KY,39808
4560,電機機械,強信-KY,67933
4562,電機機械,穎漢,67546
4564,電機機械,元翎,180100
4566,電機機械,時碩工業,67305
4571,電機機械,鈞興-KY,47600
4572,電機機械,駐龍,35800
4576,電機機械,大銀微系統,118615
4581,汽車工業,光隆精密-KY,33899
4722,化學工業,國精化,100009
4720,化學工業,德淵,89175
4725,化學工業,信昌化,132009
4737,生技醫療業,華廣,61521
4739,化學工業,康普,93029
4746,生技醫療業,台耀,108312
4755,化學工業,三福,90706
4763,化學工業,材料-KY,51076
4764,化學工業,雙鍵,75420
4766,化學工業,南寶,120570
4807,貿易百貨業,日成-KY,38386
4904,通信網路業,遠傳,3258500
4906,通信網路業,正文,353590
4912,電子零組件業,聯德投控-KY,46967
4915,電子零組件業,致伸,450898
4916,電腦及週邊設備業,事欣科,83451
4919,半導體業,新唐,287554
4927,電子零組件業,泰鼎-KY,189937
4930,電器電纜,燦星網,134300
4934,光電業,太極,200000
4935,光電業,茂林-KY,130937
4938,電腦及週邊設備業,和碩,2610511
4942,光電業,嘉彰,142367
4943,電子零組件業,康控-KY,157223
4952,半導體業,凌通,108815
4956,光電業,光鋐,100408
4958,電子零組件業,臻鼎-KY,902229
